Hugo_Symbol	Entrez_Gene_Id	GrCh37_Isoform	GrCh37_RefSeq	GrCh38_Isoform	GrCh38_RefSeq	# of occurrence within resources (column d_J)	OncoKB_Annotated	Is_Oncogene	Is_Tumor_Suppressor_Gene	Msk_Impact	Msk_Heme	Foundation_One	Foundation_One_Heme	Vogelstein	Sanger_Cgc(05/30/2017)	Tier_CGC(v.92)	In_CGC(v.92)	Role_In_Cancer_CGC(v.92)	In_CIViC(08_21)	Description_CIViC(08_21)	Inclusion_Level
ABL1	25	ENST00000318560	NM_005157.4	ENST00000318560	NM_005157.4	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, fusion	Yes	ABL1 is most relevant to cancer in its role in the BCR-ABL fusion protein that has become a signature of chronic myeloid leukemia (CML). Cells harboring this fusion have shown sensitivity to imatinib, greatly improving the prognostic outlook of the disease. However, additional mutations in ABL1 have been shown to confer resistance to imatinib. In these resistance cases, second-generation tyrosine kinase inhibitors such as dasatinib and nilotinib have exhibited some efficacy and are currently undergoing clinical trials for treating acquired resistance in CML.	1.0
AKT1	207	ENST00000349310	NM_001014431.1	ENST00000349310	NM_001014431.1	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes	AKT1, also referred to as protein kinase B, is a known oncogene. AKT activation relies on the PI3K pathway, and is recognized as a critical node in the pathway. The E17 hotspot is the most characterized of AKT1 mutations, and has been shown to result in activation of the protein. Mutations in AKT1 have also been shown to confer resistance to allosteric kinase inhibitors in vitro.	1.0
ALK	238	ENST00000389048	NM_004304.4	ENST00000389048	NM_004304.4	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, fusion	Yes	ALK amplifications, fusions and mutations have been shown to be driving events in non-small cell lung cancer. While crizontinib has demonstrated efficacy in treating the amplification, mutations in ALK have been shown to confer resistance to current tyrosine kinase inhibitors. Second-generation TKI's have seen varied success in treating these resistant cases, and the HSP90 inhibitor 17-AAG has been shown to be cytostatic in ALK-altered cell lines.	1.0
AMER1	139285	ENST00000330258	NM_152424.3	ENST00000374869	NM_152424.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
APC	324	ENST00000257430	NM_000038.5	ENST00000257430	NM_000038.5	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
AR	367	ENST00000374690	NM_000044.3	ENST00000374690	NM_000044.3	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes		1.0
ARID1A	8289	ENST00000324856	NM_006015.4	ENST00000324856	NM_006015.4	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG, fusion	Yes		1.0
ASXL1	171023	ENST00000375687	NM_015338.5	ENST00000375687	NM_015338.5	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
ATM	472	ENST00000278616	NM_000051.3	ENST00000278616	NM_000051.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes	Ataxia-telangiectasia (A-T) is a recessive disorder resulting from germline mutation of the A-T mutated (ATM) gene on chromosome 11q. Upon sensing double-stranded breaks (DSB), the wild-type kinase encoded by ATM initiates the DNA-damage response by phosphorylating histone H2AX and, subsequently, various other proteins, such as BRCA1 and the MRE11–RAD50–NBS1 (MRN) complex, which are recruited to the damaged site. Additionally, ATM phosphorylates p53, resulting in expression of the cyclin-dependent kinase inhibitor p21 and leading to senescence or apoptosis. Somatic variants can result in inhibition or loss of these functions and can cause resistance to therapies that rely on inducing apoptosis via DSBs. Germline variants in A-T patients result in a predisposition to cancer, most frequently hematologic or breast. PARP inhibition has been studied for its potential in treating ATM mutated breast cancer patients.	1.0
ATRX	546	ENST00000373344	NM_000489.3	ENST00000373344	NM_000489.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
